,q_U234,q_U235,q_U236,q_U237,q_U238,q_Np237,q_Np238,q_Np239,q_Pu238,q_Pu239,q_Pu240,q_Pu241,q_Pu242,q_Am241,q_Am242M,q_Am243,q_Cm242,q_Cm243,q_Cm244,q_Cm245,q_residual,q_I135,q_Xe135,q_Nd147,q_Nd148,q_Pm147,q_Pm148,q_Pm148M,q_Pm149,q_Sm149,q_Gd154,q_Gd155,q_Gd156,q_Gd157,q_Gd158,q_Gd160,q_Eu157,q_Rh103,q_Ru103,q_Eu153
18_4,1.320341e-06,0.000120357476,1.1663364e-05,2.2455e-08,0.006668761773,4.82363e-07,1.058e-09,4.08811e-07,4.6697e-08,2.2996768e-05,4.181724e-06,1.589014e-06,1.54963e-07,1.9303e-08,2.58e-10,7.372e-09,2.517e-09,1.3e-11,4.93e-10,7e-12,1,4.727e-09,1.975e-09,6.4829e-08,1.182019e-06,1.060279e-06,4.582e-09,7.076e-09,8.31e-09,1.7214e-08,5.64e-10,1.02e-10,5.6784e-08,3.25e-10,2.3378e-08,1.914e-09,6.4e-11,1.969426e-06,4.56992e-07,2.16105e-07
40_7,6.54685e-07,1.6783863e-05,2.5386944e-05,5.108e-08,0.00644163128,3.698821e-06,1.0611e-08,5.43252e-07,2.05602e-06,3.5183143e-05,2.0365477e-05,1.0876673e-05,7.958323e-06,3.88059e-07,7.567e-09,2.033841e-06,1.8757e-07,5.697e-09,1.005664e-06,6.2015e-08,1,4.557e-09,1.58e-09,6.1281e-08,5.774855e-06,1.899972e-06,1.0214e-08,1.3274e-08,1.1107e-08,1.7758e-08,5.435e-08,1.03e-09,2.042857e-06,1.448e-09,4.36881e-07,4.3289e-08,2.43e-10,9.299148e-06,6.40891e-07,1.880003e-06
2_3,1.532622e-06,0.00018153037,1.084438e-06,3.081e-09,0.006713711794,1.101e-09,1e-12,3.19106e-07,1e-12,3.83429e-07,1.74e-09,1.5e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.822e-09,1.907e-09,2.2605e-08,2.1028e-08,4.842e-09,5e-12,5e-12,5.721e-09,5.295e-09,0.0,0.0,2.9e-11,5e-11,7.4e-11,6e-12,1.5e-11,2.121e-09,3.707e-08,1.194e-09
30_4,9.5522e-07,5.014556e-05,2.2449582e-05,4.1741e-08,0.00656765083,2.117696e-06,5.411e-09,4.81989e-07,6.56784e-07,3.3819566e-05,1.4217877e-05,7.598003e-06,2.794188e-06,2.24718e-07,4.206e-09,4.41811e-07,7.4652e-08,1.34e-09,1.08862e-07,4.545e-09,1,4.63e-09,1.763e-09,6.2488e-08,3.420522e-06,1.829692e-06,8.888e-09,1.2672e-08,1.0199e-08,1.8379e-08,1.3987e-08,4.85e-10,5.48339e-07,7.65e-10,1.49029e-07,1.5743e-08,1.47e-10,6.16813e-06,5.75948e-07,1.025649e-06
36_3,7.68798e-07,2.7114646e-05,2.4909612e-05,4.8432e-08,0.006496781641,3.105961e-06,8.57e-09,5.21458e-07,1.412299e-06,3.4895944e-05,1.834019e-05,9.863399e-06,5.661849e-06,3.37697e-07,6.53e-09,1.23779e-06,1.45115e-07,3.708e-09,4.75797e-07,2.5922e-08,1,4.584e-09,1.639e-09,6.1654e-08,4.785386e-06,1.909121e-06,9.902e-09,1.3276e-08,1.0824e-08,1.7962e-08,3.4421e-08,7.97e-10,1.275886e-06,1.127e-09,2.92122e-07,3.0417e-08,2.04e-10,8.157465e-06,6.18914e-07,1.546758e-06
18_1,1.320341e-06,0.000120357476,1.1663364e-05,2.2455e-08,0.006668761773,4.82363e-07,1.058e-09,4.08811e-07,4.6697e-08,2.2996768e-05,4.181724e-06,1.589014e-06,1.54963e-07,1.9303e-08,2.58e-10,7.372e-09,2.517e-09,1.3e-11,4.93e-10,7e-12,1,4.727e-09,1.975e-09,6.4829e-08,1.182019e-06,1.060279e-06,4.582e-09,7.076e-09,8.31e-09,1.7214e-08,5.64e-10,1.02e-10,5.6784e-08,3.25e-10,2.3378e-08,1.914e-09,6.4e-11,1.969426e-06,4.56992e-07,2.16105e-07
1_3,1.535838e-06,0.000182630093,8.91083e-07,7.89e-10,0.006714330848,5.5e-11,0.0,1.20791e-07,0.0,2.4967e-08,4.4e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.658e-09,1.802e-09,5.495e-09,4.364e-09,2.33e-10,0.0,0.0,2.26e-09,4.68e-10,0.0,0.0,1e-12,9e-12,8e-12,1e-12,1.1e-11,9.4e-11,8.04e-09,8.3e-11
34_2,8.34138e-07,3.429334e-05,2.4278673e-05,4.6373e-08,0.006523807122,2.758049e-06,7.417e-09,5.07976e-07,1.106635e-06,3.464988e-05,1.7007613e-05,9.160507e-06,4.535767e-06,3.01882e-07,5.792e-09,8.9534e-07,1.19645e-07,2.732e-09,2.9645e-07,1.4868e-08,1,4.6e-09,1.68e-09,6.1922e-08,4.279628e-06,1.897146e-06,9.621e-09,1.3171e-08,1.0628e-08,1.8119e-08,2.5789e-08,6.79e-10,9.61489e-07,9.82e-10,2.32008e-07,2.4511e-08,1.83e-10,7.477854e-06,6.04812e-07,1.36008e-06
19_0,1.299268e-06,0.000115258985,1.2516999e-05,2.3811e-08,0.006663834329,5.55218e-07,1.228e-09,4.12641e-07,5.9338e-08,2.4252954e-05,4.767198e-06,1.910681e-06,2.08888e-07,2.5534e-08,3.57e-10,1.1118e-08,3.64e-09,2.2e-11,8.32e-10,1.4e-11,1,4.72e-09,1.969e-09,6.4651e-08,1.301882e-06,1.136931e-06,4.944e-09,7.634e-09,8.451e-09,1.7434e-08,7.62e-10,1.14e-10,6.7934e-08,3.47e-10,2.7348e-08,2.302e-09,6.8e-11,2.212255e-06,4.66404e-07,2.5002e-07
12_2,1.436897e-06,0.000151470789,6.341154e-06,1.4169e-08,0.006694456354,1.53245e-07,3.21e-10,3.88892e-07,6.681e-09,1.337298e-05,1.259576e-06,2.68353e-07,1.064e-08,1.441e-09,1.2e-11,2.04e-10,8.8e-11,0.0,6e-12,0.0,1,4.771e-09,1.98e-09,6.6025e-08,5.33815e-07,5.36656e-07,2.212e-09,3.316e-09,7.412e-09,1.5413e-08,4.8e-11,4.7e-11,1.3866e-08,2e-10,6.804e-09,4.63e-10,4e-11,6.85154e-07,3.76015e-07,6.851e-08
