,q_U234,q_U235,q_U236,q_U237,q_U238,q_Np237,q_Np238,q_Np239,q_Pu238,q_Pu239,q_Pu240,q_Pu241,q_Pu242,q_Am241,q_Am242M,q_Am243,q_Cm242,q_Cm243,q_Cm244,q_Cm245,q_residual,q_I135,q_Xe135,q_Nd147,q_Nd148,q_Pm147,q_Pm148,q_Pm148M,q_Pm149,q_Sm149,q_Gd154,q_Gd155,q_Gd156,q_Gd157,q_Gd158,q_Gd160,q_Eu157,q_Rh103,q_Ru103,q_Eu153
20_2,1.275807e-06,0.00010975414,1.3431047e-05,2.5276e-08,0.00665824065,6.40481e-07,1.429e-09,4.16997e-07,7.5789e-08,2.5516563e-05,5.428124e-06,2.286736e-06,2.81176e-07,3.362e-08,4.92e-10,1.6779e-08,5.245e-09,3.5e-11,1.409e-09,2.6e-11,1,4.713e-09,1.96e-09,6.4463e-08,1.436361e-06,1.216491e-06,5.326e-09,8.213e-09,8.603e-09,1.7647e-08,1.033e-09,1.3e-10,8.1856e-08,3.71e-10,3.2142e-08,2.783e-09,7.2e-11,2.484092e-06,4.76191e-07,2.90134e-07
5_3,1.516573e-06,0.000176139083,2.031791e-06,7.263e-09,0.006710597573,1.5792e-08,2.9e-11,3.78812e-07,1.08e-10,2.973741e-06,6.1907e-08,2.71e-09,1.9e-11,3e-12,0.0,0.0,0.0,0.0,0.0,0.0,1,4.811e-09,1.928e-09,5.8358e-08,1.05212e-07,7.5426e-08,2.24e-10,2.65e-10,6.678e-09,1.3289e-08,0.0,8e-12,6.79e-10,9.4e-11,7.03e-10,4.1e-11,2e-11,4.5808e-08,1.52366e-07,9.338e-09
34_0,8.34138e-07,3.429334e-05,2.4278673e-05,4.6373e-08,0.006523807122,2.758049e-06,7.417e-09,5.07976e-07,1.106635e-06,3.464988e-05,1.7007613e-05,9.160507e-06,4.535767e-06,3.01882e-07,5.792e-09,8.9534e-07,1.19645e-07,2.732e-09,2.9645e-07,1.4868e-08,1,4.6e-09,1.68e-09,6.1922e-08,4.279628e-06,1.897146e-06,9.621e-09,1.3171e-08,1.0628e-08,1.8119e-08,2.5789e-08,6.79e-10,9.61489e-07,9.82e-10,2.32008e-07,2.4511e-08,1.83e-10,7.477854e-06,6.04812e-07,1.36008e-06
11_2,1.451057e-06,0.000155628,5.618955e-06,1.3053e-08,0.006697406807,1.22989e-07,2.56e-10,3.86752e-07,4.574e-09,1.1807862e-05,9.71835e-07,1.80655e-07,6.046e-09,8.24e-10,6e-12,9.8e-11,4.3e-11,0.0,2e-12,0.0,1,4.777e-09,1.975e-09,6.6198e-08,4.56704e-07,4.60277e-07,1.876e-09,2.779e-09,7.287e-09,1.511e-08,3e-11,4.1e-11,1.0519e-08,1.84e-10,5.397e-09,3.58e-10,3.7e-11,5.44562e-07,3.56885e-07,5.5517e-08
12_4,1.436897e-06,0.000151470789,6.341154e-06,1.4169e-08,0.006694456354,1.53245e-07,3.21e-10,3.88892e-07,6.681e-09,1.337298e-05,1.259576e-06,2.68353e-07,1.064e-08,1.441e-09,1.2e-11,2.04e-10,8.8e-11,0.0,6e-12,0.0,1,4.771e-09,1.98e-09,6.6025e-08,5.33815e-07,5.36656e-07,2.212e-09,3.316e-09,7.412e-09,1.5413e-08,4.8e-11,4.7e-11,1.3866e-08,2e-10,6.804e-09,4.63e-10,4e-11,6.85154e-07,3.76015e-07,6.851e-08
8_1,1.488642e-06,0.000167123471,3.612707e-06,9.948e-09,0.006705066175,5.4509e-08,1.1e-10,3.81753e-07,1.084e-09,7.094828e-06,3.44169e-07,3.6803e-08,6.59e-10,9.1e-11,0.0,6e-12,3e-12,0.0,0.0,0.0,1,4.796e-09,1.954e-09,6.6237e-08,2.53869e-07,2.43159e-07,9.27e-10,1.285e-09,6.932e-09,1.4194e-08,5e-12,2.3e-11,3.623e-09,1.36e-10,2.323e-09,1.42e-10,2.8e-11,2.15034e-07,2.74135e-07,2.6328e-08
12_0,1.436897e-06,0.000151470789,6.341154e-06,1.4169e-08,0.006694456354,1.53245e-07,3.21e-10,3.88892e-07,6.681e-09,1.337298e-05,1.259576e-06,2.68353e-07,1.064e-08,1.441e-09,1.2e-11,2.04e-10,8.8e-11,0.0,6e-12,0.0,1,4.771e-09,1.98e-09,6.6025e-08,5.33815e-07,5.36656e-07,2.212e-09,3.316e-09,7.412e-09,1.5413e-08,4.8e-11,4.7e-11,1.3866e-08,2e-10,6.804e-09,4.63e-10,4e-11,6.85154e-07,3.76015e-07,6.851e-08
15_1,1.381656e-06,0.000136072996,8.996047e-06,1.8278e-08,0.006682597762,2.92487e-07,6.26e-10,3.97994e-07,2.0032e-08,1.8575587e-05,2.553398e-06,7.76775e-07,5.0894e-08,6.657e-09,7.4e-11,1.628e-09,6.28e-10,2e-12,7.3e-11,1e-12,1,4.748e-09,1.986e-09,6.5405e-08,8.38017e-07,8.07118e-07,3.418e-09,5.244e-09,7.865e-09,1.6406e-08,1.94e-10,7e-11,3.0628e-08,2.61e-10,1.3546e-08,1.014e-09,5.1e-11,1.275712e-06,4.23958e-07,1.29648e-07
17_4,1.344831e-06,0.000126472529,1.0631488e-05,2.0832e-08,0.006674375778,4.02419e-07,8.74e-10,4.04411e-07,3.4345e-08,2.1377328e-05,3.515182e-06,1.23953e-06,1.0452e-07,1.3291e-08,1.67e-10,4.305e-09,1.543e-09,7e-12,2.49e-10,3e-12,1,4.735e-09,1.981e-09,6.5047e-08,1.043793e-06,9.64721e-07,4.137e-09,6.383e-09,8.138e-09,1.6924e-08,3.83e-10,8.8e-11,4.5284e-08,3e-10,1.9148e-08,1.515e-09,5.9e-11,1.689534e-06,4.4506e-07,1.79332e-07
18_3,1.320341e-06,0.000120357476,1.1663364e-05,2.2455e-08,0.006668761773,4.82363e-07,1.058e-09,4.08811e-07,4.6697e-08,2.2996768e-05,4.181724e-06,1.589014e-06,1.54963e-07,1.9303e-08,2.58e-10,7.372e-09,2.517e-09,1.3e-11,4.93e-10,7e-12,1,4.727e-09,1.975e-09,6.4829e-08,1.182019e-06,1.060279e-06,4.582e-09,7.076e-09,8.31e-09,1.7214e-08,5.64e-10,1.02e-10,5.6784e-08,3.25e-10,2.3378e-08,1.914e-09,6.4e-11,1.969426e-06,4.56992e-07,2.16105e-07
37_1,7.40866e-07,2.433041e-05,2.5101331e-05,4.92e-08,0.006484327107,3.253573e-06,9.07e-09,5.27071e-07,1.556886e-06,3.4975112e-05,1.8871396e-05,1.0135357e-05,6.184232e-06,3.51473e-07,6.814e-09,1.408023e-06,1.55889e-07,4.167e-09,5.76075e-07,3.2424e-08,1,4.577e-09,1.623e-09,6.155e-08,5.013409e-06,1.910017e-06,9.999e-09,1.3294e-08,1.09e-08,1.79e-08,3.8681e-08,8.5e-10,1.435066e-06,1.196e-09,3.22195e-07,3.3239e-08,2.14e-10,8.442084e-06,6.24617e-07,1.627531e-06
5_1,1.516573e-06,0.000176139083,2.031791e-06,7.263e-09,0.006710597573,1.5792e-08,2.9e-11,3.78812e-07,1.08e-10,2.973741e-06,6.1907e-08,2.71e-09,1.9e-11,3e-12,0.0,0.0,0.0,0.0,0.0,0.0,1,4.811e-09,1.928e-09,5.8358e-08,1.05212e-07,7.5426e-08,2.24e-10,2.65e-10,6.678e-09,1.3289e-08,0.0,8e-12,6.79e-10,9.4e-11,7.03e-10,4.1e-11,2e-11,4.5808e-08,1.52366e-07,9.338e-09
38_0,7.12752e-07,2.1696923e-05,2.5246034e-05,4.9897e-08,0.006471161056,3.400848e-06,9.575e-09,5.32403e-07,1.710905e-06,3.5045829e-05,1.9382704e-05,1.039279e-05,6.735508e-06,3.64382e-07,7.079e-09,1.594889e-06,1.66539e-07,4.65e-09,6.94394e-07,4.0324e-08,1,4.571e-09,1.608e-09,6.1453e-08,5.251372e-06,1.908704e-06,1.0082e-08,1.3298e-08,1.0972e-08,1.7843e-08,4.335e-08,9.06e-10,1.612582e-06,1.272e-09,3.55637e-07,3.6281e-08,2.23e-10,8.725073e-06,6.30148e-07,1.709352e-06
5_0,1.516573e-06,0.000176139083,2.031791e-06,7.263e-09,0.006710597573,1.5792e-08,2.9e-11,3.78812e-07,1.08e-10,2.973741e-06,6.1907e-08,2.71e-09,1.9e-11,3e-12,0.0,0.0,0.0,0.0,0.0,0.0,1,4.811e-09,1.928e-09,5.8358e-08,1.05212e-07,7.5426e-08,2.24e-10,2.65e-10,6.678e-09,1.3289e-08,0.0,8e-12,6.79e-10,9.4e-11,7.03e-10,4.1e-11,2e-11,4.5808e-08,1.52366e-07,9.338e-09
19_1,1.299268e-06,0.000115258985,1.2516999e-05,2.3811e-08,0.006663834329,5.55218e-07,1.228e-09,4.12641e-07,5.9338e-08,2.4252954e-05,4.767198e-06,1.910681e-06,2.08888e-07,2.5534e-08,3.57e-10,1.1118e-08,3.64e-09,2.2e-11,8.32e-10,1.4e-11,1,4.72e-09,1.969e-09,6.4651e-08,1.301882e-06,1.136931e-06,4.944e-09,7.634e-09,8.451e-09,1.7434e-08,7.62e-10,1.14e-10,6.7934e-08,3.47e-10,2.7348e-08,2.302e-09,6.8e-11,2.212255e-06,4.66404e-07,2.5002e-07
36_4,7.68798e-07,2.7114646e-05,2.4909612e-05,4.8432e-08,0.006496781641,3.105961e-06,8.57e-09,5.21458e-07,1.412299e-06,3.4895944e-05,1.834019e-05,9.863399e-06,5.661849e-06,3.37697e-07,6.53e-09,1.23779e-06,1.45115e-07,3.708e-09,4.75797e-07,2.5922e-08,1,4.584e-09,1.639e-09,6.1654e-08,4.785386e-06,1.909121e-06,9.902e-09,1.3276e-08,1.0824e-08,1.7962e-08,3.4421e-08,7.97e-10,1.275886e-06,1.127e-09,2.92122e-07,3.0417e-08,2.04e-10,8.157465e-06,6.18914e-07,1.546758e-06
28_2,1.030484e-06,6.174077e-05,2.0884882e-05,3.8408e-08,0.006591731077,1.732846e-06,4.285e-09,4.65951e-07,4.48315e-07,3.2895156e-05,1.229519e-05,6.46078e-06,1.934117e-06,1.73191e-07,3.158e-09,2.59025e-07,5.0513e-08,7.61e-10,5.2125e-08,1.893e-09,1,4.648e-09,1.816e-09,6.2884e-08,2.924107e-06,1.75077e-06,8.283e-09,1.21e-08,9.889e-09,1.8459e-08,8.925e-09,3.79e-10,3.74824e-07,6.55e-10,1.10871e-07,1.1495e-08,1.27e-10,5.324356e-06,5.56137e-07,8.28865e-07
10_0,1.465303e-06,0.000159903902,4.874166e-06,1.1903e-08,0.006700339237,9.496e-08,1.96e-10,3.84713e-07,2.915e-09,1.0122401e-05,7.0771e-07,1.11156e-07,3.049e-09,4.18e-10,3e-12,4e-11,1.8e-11,0.0,1e-12,0.0,1,4.784e-09,1.969e-09,6.6356e-08,3.79499e-07,3.80407e-07,1.526e-09,2.222e-09,7.156e-09,1.4781e-08,1.7e-11,3.5e-11,7.553e-09,1.66e-10,4.117e-09,2.65e-10,3.4e-11,4.10626e-07,3.32335e-07,4.3557e-08
3_4,1.52883e-06,0.000180243056,1.310765e-06,4.774e-09,0.006712979659,3.537e-09,5e-12,3.67694e-07,6e-12,9.81449e-07,8.042e-09,1.32e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.819e-09,1.912e-09,3.679e-08,4.0763e-08,1.6077e-08,2.8e-11,2.8e-11,6.476e-09,9.706e-09,0.0,2e-12,1.06e-10,7e-11,1.94e-10,1.3e-11,1.6e-11,7.676e-09,6.8415e-08,2.979e-09
15_3,1.381656e-06,0.000136072996,8.996047e-06,1.8278e-08,0.006682597762,2.92487e-07,6.26e-10,3.97994e-07,2.0032e-08,1.8575587e-05,2.553398e-06,7.76775e-07,5.0894e-08,6.657e-09,7.4e-11,1.628e-09,6.28e-10,2e-12,7.3e-11,1e-12,1,4.748e-09,1.986e-09,6.5405e-08,8.38017e-07,8.07118e-07,3.418e-09,5.244e-09,7.865e-09,1.6406e-08,1.94e-10,7e-11,3.0628e-08,2.61e-10,1.3546e-08,1.014e-09,5.1e-11,1.275712e-06,4.23958e-07,1.29648e-07
9_0,1.476823e-06,0.00016343319,4.258074e-06,1.095e-08,0.006702684296,7.4125e-08,1.52e-10,3.83177e-07,1.882e-09,8.67156e-06,5.1626e-07,6.8523e-08,1.554e-09,2.14e-10,1e-12,1.7e-11,8e-12,0.0,0.0,0.0,1,4.79e-09,1.963e-09,6.6416e-08,3.17351e-07,3.13607e-07,1.234e-09,1.761e-09,7.047e-09,1.4499e-08,1e-11,2.9e-11,5.462e-09,1.52e-10,3.183e-09,2e-10,3.1e-11,3.09645e-07,3.0704e-07,3.4691e-08
2_0,1.532622e-06,0.00018153037,1.084438e-06,3.081e-09,0.006713711794,1.101e-09,1e-12,3.19106e-07,1e-12,3.83429e-07,1.74e-09,1.5e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.822e-09,1.907e-09,2.2605e-08,2.1028e-08,4.842e-09,5e-12,5e-12,5.721e-09,5.295e-09,0.0,0.0,2.9e-11,5e-11,7.4e-11,6e-12,1.5e-11,2.121e-09,3.707e-08,1.194e-09
15_0,1.381656e-06,0.000136072996,8.996047e-06,1.8278e-08,0.006682597762,2.92487e-07,6.26e-10,3.97994e-07,2.0032e-08,1.8575587e-05,2.553398e-06,7.76775e-07,5.0894e-08,6.657e-09,7.4e-11,1.628e-09,6.28e-10,2e-12,7.3e-11,1e-12,1,4.748e-09,1.986e-09,6.5405e-08,8.38017e-07,8.07118e-07,3.418e-09,5.244e-09,7.865e-09,1.6406e-08,1.94e-10,7e-11,3.0628e-08,2.61e-10,1.3546e-08,1.014e-09,5.1e-11,1.275712e-06,4.23958e-07,1.29648e-07
4_1,1.524331e-06,0.000178721674,1.57802e-06,5.984e-09,0.006712109666,7.478e-09,1.2e-11,3.74305e-07,2.6e-11,1.723838e-06,2.2055e-08,5.77e-10,2e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.816e-09,1.919e-09,4.7927e-08,6.4388e-08,3.4964e-08,8.1e-11,8.7e-11,6.614e-09,1.2069e-08,0.0,4e-12,2.61e-10,8.1e-11,3.65e-10,2.2e-11,1.8e-11,1.8361e-08,1.02174e-07,5.246e-09
15_2,1.381656e-06,0.000136072996,8.996047e-06,1.8278e-08,0.006682597762,2.92487e-07,6.26e-10,3.97994e-07,2.0032e-08,1.8575587e-05,2.553398e-06,7.76775e-07,5.0894e-08,6.657e-09,7.4e-11,1.628e-09,6.28e-10,2e-12,7.3e-11,1e-12,1,4.748e-09,1.986e-09,6.5405e-08,8.38017e-07,8.07118e-07,3.418e-09,5.244e-09,7.865e-09,1.6406e-08,1.94e-10,7e-11,3.0628e-08,2.61e-10,1.3546e-08,1.014e-09,5.1e-11,1.275712e-06,4.23958e-07,1.29648e-07
14_3,1.401776e-06,0.000141536448,8.05806e-06,1.6819e-08,0.006686982051,2.3803e-07,5.06e-10,3.94515e-07,1.4139e-08,1.6832962e-05,2.056552e-06,5.62892e-07,3.1394e-08,4.163e-09,4.2e-11,8.53e-10,3.43e-10,1e-12,3.3e-11,0.0,1,4.756e-09,1.985e-09,6.5618e-08,7.26604e-07,7.13526e-07,2.998e-09,4.573e-09,7.706e-09,1.6076e-08,1.25e-10,6.2e-11,2.3831e-08,2.4e-10,1.0861e-08,7.87e-10,4.7e-11,1.055013e-06,4.09746e-07,1.05476e-07
10_4,1.465303e-06,0.000159903902,4.874166e-06,1.1903e-08,0.006700339237,9.496e-08,1.96e-10,3.84713e-07,2.915e-09,1.0122401e-05,7.0771e-07,1.11156e-07,3.049e-09,4.18e-10,3e-12,4e-11,1.8e-11,0.0,1e-12,0.0,1,4.784e-09,1.969e-09,6.6356e-08,3.79499e-07,3.80407e-07,1.526e-09,2.222e-09,7.156e-09,1.4781e-08,1.7e-11,3.5e-11,7.553e-09,1.66e-10,4.117e-09,2.65e-10,3.4e-11,4.10626e-07,3.32335e-07,4.3557e-08
33_2,8.66668e-07,3.8221891e-05,2.3870858e-05,4.5224e-08,0.00653630257,2.584677e-06,6.859e-09,5.01052e-07,9.712e-07,3.4485662e-05,1.6297972e-05,8.774251e-06,4.024218e-06,2.82335e-07,5.389e-09,7.51823e-07,1.07091e-07,2.302e-09,2.30588e-07,1.1055e-08,1,4.608e-09,1.701e-09,6.2066e-08,4.040045e-06,1.885316e-06,9.451e-09,1.308e-08,1.0522e-08,1.8197e-08,2.2121e-08,6.24e-10,8.31178e-07,9.18e-10,2.06549e-07,2.1897e-08,1.73e-10,7.132273e-06,5.97406e-07,1.268544e-06
25_0,1.12969e-06,7.9183778e-05,1.8315203e-05,3.3532e-08,0.006620574533,1.254339e-06,2.972e-09,4.45417e-07,2.47166e-07,3.0916258e-05,9.588087e-06,4.807086e-06,1.058123e-06,1.07766e-07,1.86e-09,1.08724e-07,2.561e-08,2.93e-10,1.618e-08,4.69e-10,1,4.673e-09,1.883e-09,6.3458e-08,2.302083e-06,1.592428e-06,7.289e-09,1.0953e-08,9.425e-09,1.838e-08,4.391e-09,2.6e-10,2.16188e-07,5.3e-10,7.1913e-08,7.099e-09,1.03e-10,4.185721e-06,5.27299e-07,5.88528e-07
12_1,1.436897e-06,0.000151470789,6.341154e-06,1.4169e-08,0.006694456354,1.53245e-07,3.21e-10,3.88892e-07,6.681e-09,1.337298e-05,1.259576e-06,2.68353e-07,1.064e-08,1.441e-09,1.2e-11,2.04e-10,8.8e-11,0.0,6e-12,0.0,1,4.771e-09,1.98e-09,6.6025e-08,5.33815e-07,5.36656e-07,2.212e-09,3.316e-09,7.412e-09,1.5413e-08,4.8e-11,4.7e-11,1.3866e-08,2e-10,6.804e-09,4.63e-10,4e-11,6.85154e-07,3.76015e-07,6.851e-08
32_3,8.97149e-07,4.2121293e-05,2.3432844e-05,4.4081e-08,0.00654750675,2.422813e-06,6.347e-09,4.94529e-07,8.54156e-07,3.4297158e-05,1.5605873e-05,8.389915e-06,3.574087e-06,2.63132e-07,4.994e-09,6.32348e-07,9.5567e-08,1.936e-09,1.80212e-07,8.26e-09,1,4.616e-09,1.722e-09,6.2206e-08,3.821796e-06,1.870244e-06,9.275e-09,1.2968e-08,1.0416e-08,1.8267e-08,1.9029e-08,5.75e-10,7.22759e-07,8.62e-10,1.84956e-07,1.9627e-08,1.64e-10,6.80417e-06,5.90235e-07,1.183797e-06
25_3,1.12969e-06,7.9183778e-05,1.8315203e-05,3.3532e-08,0.006620574533,1.254339e-06,2.972e-09,4.45417e-07,2.47166e-07,3.0916258e-05,9.588087e-06,4.807086e-06,1.058123e-06,1.07766e-07,1.86e-09,1.08724e-07,2.561e-08,2.93e-10,1.618e-08,4.69e-10,1,4.673e-09,1.883e-09,6.3458e-08,2.302083e-06,1.592428e-06,7.289e-09,1.0953e-08,9.425e-09,1.838e-08,4.391e-09,2.6e-10,2.16188e-07,5.3e-10,7.1913e-08,7.099e-09,1.03e-10,4.185721e-06,5.27299e-07,5.88528e-07
8_2,1.488642e-06,0.000167123471,3.612707e-06,9.948e-09,0.006705066175,5.4509e-08,1.1e-10,3.81753e-07,1.084e-09,7.094828e-06,3.44169e-07,3.6803e-08,6.59e-10,9.1e-11,0.0,6e-12,3e-12,0.0,0.0,0.0,1,4.796e-09,1.954e-09,6.6237e-08,2.53869e-07,2.43159e-07,9.27e-10,1.285e-09,6.932e-09,1.4194e-08,5e-12,2.3e-11,3.623e-09,1.36e-10,2.323e-09,1.42e-10,2.8e-11,2.15034e-07,2.74135e-07,2.6328e-08
7_3,1.501126e-06,0.000171100095,2.91607e-06,8.851e-09,0.006707555201,3.5804e-08,7.1e-11,3.80419e-07,5.02e-10,5.325172e-06,1.93938e-07,1.5313e-08,1.99e-10,2.8e-11,0.0,1e-12,1e-12,0.0,0.0,0.0,1,4.802e-09,1.944e-09,6.5114e-08,1.87164e-07,1.67303e-07,6e-10,7.92e-10,6.812e-09,1.3861e-08,2e-12,1.6e-11,2.047e-09,1.18e-10,1.524e-09,9.1e-11,2.5e-11,1.2812e-07,2.28999e-07,1.8272e-08
14_1,1.401776e-06,0.000141536448,8.05806e-06,1.6819e-08,0.006686982051,2.3803e-07,5.06e-10,3.94515e-07,1.4139e-08,1.6832962e-05,2.056552e-06,5.62892e-07,3.1394e-08,4.163e-09,4.2e-11,8.53e-10,3.43e-10,1e-12,3.3e-11,0.0,1,4.756e-09,1.985e-09,6.5618e-08,7.26604e-07,7.13526e-07,2.998e-09,4.573e-09,7.706e-09,1.6076e-08,1.25e-10,6.2e-11,2.3831e-08,2.4e-10,1.0861e-08,7.87e-10,4.7e-11,1.055013e-06,4.09746e-07,1.05476e-07
33_0,8.66668e-07,3.8221891e-05,2.3870858e-05,4.5224e-08,0.00653630257,2.584677e-06,6.859e-09,5.01052e-07,9.712e-07,3.4485662e-05,1.6297972e-05,8.774251e-06,4.024218e-06,2.82335e-07,5.389e-09,7.51823e-07,1.07091e-07,2.302e-09,2.30588e-07,1.1055e-08,1,4.608e-09,1.701e-09,6.2066e-08,4.040045e-06,1.885316e-06,9.451e-09,1.308e-08,1.0522e-08,1.8197e-08,2.2121e-08,6.24e-10,8.31178e-07,9.18e-10,2.06549e-07,2.1897e-08,1.73e-10,7.132273e-06,5.97406e-07,1.268544e-06
11_0,1.451057e-06,0.000155628,5.618955e-06,1.3053e-08,0.006697406807,1.22989e-07,2.56e-10,3.86752e-07,4.574e-09,1.1807862e-05,9.71835e-07,1.80655e-07,6.046e-09,8.24e-10,6e-12,9.8e-11,4.3e-11,0.0,2e-12,0.0,1,4.777e-09,1.975e-09,6.6198e-08,4.56704e-07,4.60277e-07,1.876e-09,2.779e-09,7.287e-09,1.511e-08,3e-11,4.1e-11,1.0519e-08,1.84e-10,5.397e-09,3.58e-10,3.7e-11,5.44562e-07,3.56885e-07,5.5517e-08
37_2,7.40866e-07,2.433041e-05,2.5101331e-05,4.92e-08,0.006484327107,3.253573e-06,9.07e-09,5.27071e-07,1.556886e-06,3.4975112e-05,1.8871396e-05,1.0135357e-05,6.184232e-06,3.51473e-07,6.814e-09,1.408023e-06,1.55889e-07,4.167e-09,5.76075e-07,3.2424e-08,1,4.577e-09,1.623e-09,6.155e-08,5.013409e-06,1.910017e-06,9.999e-09,1.3294e-08,1.09e-08,1.79e-08,3.8681e-08,8.5e-10,1.435066e-06,1.196e-09,3.22195e-07,3.3239e-08,2.14e-10,8.442084e-06,6.24617e-07,1.627531e-06
10_1,1.465303e-06,0.000159903902,4.874166e-06,1.1903e-08,0.006700339237,9.496e-08,1.96e-10,3.84713e-07,2.915e-09,1.0122401e-05,7.0771e-07,1.11156e-07,3.049e-09,4.18e-10,3e-12,4e-11,1.8e-11,0.0,1e-12,0.0,1,4.784e-09,1.969e-09,6.6356e-08,3.79499e-07,3.80407e-07,1.526e-09,2.222e-09,7.156e-09,1.4781e-08,1.7e-11,3.5e-11,7.553e-09,1.66e-10,4.117e-09,2.65e-10,3.4e-11,4.10626e-07,3.32335e-07,4.3557e-08
38_4,7.12752e-07,2.1696923e-05,2.5246034e-05,4.9897e-08,0.006471161056,3.400848e-06,9.575e-09,5.32403e-07,1.710905e-06,3.5045829e-05,1.9382704e-05,1.039279e-05,6.735508e-06,3.64382e-07,7.079e-09,1.594889e-06,1.66539e-07,4.65e-09,6.94394e-07,4.0324e-08,1,4.571e-09,1.608e-09,6.1453e-08,5.251372e-06,1.908704e-06,1.0082e-08,1.3298e-08,1.0972e-08,1.7843e-08,4.335e-08,9.06e-10,1.612582e-06,1.272e-09,3.55637e-07,3.6281e-08,2.23e-10,8.725073e-06,6.30148e-07,1.709352e-06
4_0,1.524331e-06,0.000178721674,1.57802e-06,5.984e-09,0.006712109666,7.478e-09,1.2e-11,3.74305e-07,2.6e-11,1.723838e-06,2.2055e-08,5.77e-10,2e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.816e-09,1.919e-09,4.7927e-08,6.4388e-08,3.4964e-08,8.1e-11,8.7e-11,6.614e-09,1.2069e-08,0.0,4e-12,2.61e-10,8.1e-11,3.65e-10,2.2e-11,1.8e-11,1.8361e-08,1.02174e-07,5.246e-09
8_4,1.488642e-06,0.000167123471,3.612707e-06,9.948e-09,0.006705066175,5.4509e-08,1.1e-10,3.81753e-07,1.084e-09,7.094828e-06,3.44169e-07,3.6803e-08,6.59e-10,9.1e-11,0.0,6e-12,3e-12,0.0,0.0,0.0,1,4.796e-09,1.954e-09,6.6237e-08,2.53869e-07,2.43159e-07,9.27e-10,1.285e-09,6.932e-09,1.4194e-08,5e-12,2.3e-11,3.623e-09,1.36e-10,2.323e-09,1.42e-10,2.8e-11,2.15034e-07,2.74135e-07,2.6328e-08
40_3,6.54685e-07,1.6783863e-05,2.5386944e-05,5.108e-08,0.00644163128,3.698821e-06,1.0611e-08,5.43252e-07,2.05602e-06,3.5183143e-05,2.0365477e-05,1.0876673e-05,7.958323e-06,3.88059e-07,7.567e-09,2.033841e-06,1.8757e-07,5.697e-09,1.005664e-06,6.2015e-08,1,4.557e-09,1.58e-09,6.1281e-08,5.774855e-06,1.899972e-06,1.0214e-08,1.3274e-08,1.1107e-08,1.7758e-08,5.435e-08,1.03e-09,2.042857e-06,1.448e-09,4.36881e-07,4.3289e-08,2.43e-10,9.299148e-06,6.40891e-07,1.880003e-06
29_0,9.96341e-07,5.6310332e-05,2.1635448e-05,3.9958e-08,0.006581067239,1.905583e-06,4.783e-09,4.73203e-07,5.36515e-07,3.3364521e-05,1.3183619e-05,6.991297e-06,2.303274e-06,1.96635e-07,3.633e-09,3.33648e-07,6.0976e-08,9.98e-10,7.3768e-08,2.862e-09,1,4.64e-09,1.792e-09,6.2701e-08,3.146334e-06,1.790553e-06,8.573e-09,1.2388e-08,1.0034e-08,1.8434e-08,1.103e-08,4.26e-10,4.46965e-07,7.03e-10,1.27132e-07,1.3318e-08,1.36e-10,5.709649e-06,5.6532e-07,9.1683e-07
32_4,8.97149e-07,4.2121293e-05,2.3432844e-05,4.4081e-08,0.00654750675,2.422813e-06,6.347e-09,4.94529e-07,8.54156e-07,3.4297158e-05,1.5605873e-05,8.389915e-06,3.574087e-06,2.63132e-07,4.994e-09,6.32348e-07,9.5567e-08,1.936e-09,1.80212e-07,8.26e-09,1,4.616e-09,1.722e-09,6.2206e-08,3.821796e-06,1.870244e-06,9.275e-09,1.2968e-08,1.0416e-08,1.8267e-08,1.9029e-08,5.75e-10,7.22759e-07,8.62e-10,1.84956e-07,1.9627e-08,1.64e-10,6.80417e-06,5.90235e-07,1.183797e-06
3_2,1.52883e-06,0.000180243056,1.310765e-06,4.774e-09,0.006712979659,3.537e-09,5e-12,3.67694e-07,6e-12,9.81449e-07,8.042e-09,1.32e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4.819e-09,1.912e-09,3.679e-08,4.0763e-08,1.6077e-08,2.8e-11,2.8e-11,6.476e-09,9.706e-09,0.0,2e-12,1.06e-10,7e-11,1.94e-10,1.3e-11,1.6e-11,7.676e-09,6.8415e-08,2.979e-09
