,total_time,time,score,loo_duration,alpha_CI,PVA,R2,RMSE,mean_err_abs,max_err_abs,mean_err_quant05,mean_err_quant95,mean_err_quant99,pred_time,noise
0,0.8656430244445801,0.0,-1682.5838369305723,0.8329827785491943,0.9999911,-6.421276759228989,0.9978391402925293,0.04642822830418898,0.027730742017053788,1.8128729877188712,0.0013615566410765112,0.0904701175260659,0.15813939498353968,0.8236794471740723,3.3882148692194815e-06
1,1.8468132019042969,0.0,-1600.3567686624633,0.01489710807800293,0.99939024,-3.5624251773192577,-391244.4280811994,0.04713167696481108,0.02799697686118285,1.1277764269555892,0.0014084929548140131,0.09290411362343426,0.17412237016687782,,
2,1.9774558544158936,0.0,-1588.7555974117995,0.0169830322265625,0.9993872,-3.5522181616840607,-397770.9069648418,0.04756513783176487,0.02827375354453265,1.1709831462578015,0.0014443205010266416,0.09344725277394654,0.17540713254734577,,
3,2.110130548477173,0.0,-1571.1992572835657,0.017901182174682617,0.9993841,-3.5436153416776857,-403522.3477941624,0.04783547079957271,0.02847629903568665,1.1679994714981907,0.0014757773337630885,0.09396977410688917,0.17560865751333948,,
4,2.244954824447632,0.0,-1581.1814486660485,0.01537322998046875,0.99936324,-3.5358773931156358,-409016.3208874043,0.048085153765524476,0.028696176223854595,1.168966605513155,0.0014814924311834824,0.0946759632146237,0.17612423733375995,,
5,2.3727715015411377,0.0,-1625.0890153502182,0.014919042587280273,0.99936,-3.5247213090988203,-413024.01438824745,0.048373273198499024,0.028958537218777527,1.1698937172808783,0.0014863415341255795,0.09517041673458157,0.17678267014827864,,
6,2.5026144981384277,0.0,-1542.0288472862737,0.014556407928466797,0.99935675,-3.5145106386772516,-419236.3082439232,0.0486336139670467,0.029240938345460262,1.1709026153142301,0.0015715141533325604,0.09579979268729796,0.1784613776559798,,
7,2.6294238567352295,0.0,-1464.4226776333558,0.014281034469604492,0.9993534,-3.5071910614907202,-426977.3386932199,0.04885918093955904,0.029432578138647487,1.1734309315648577,0.0016385585559054382,0.09631389587553352,0.1781402522555902,,
8,2.755227565765381,0.0,-1485.4056829297538,0.013873577117919922,0.99936813,-3.4919279941011774,-447273.1562069192,0.04935421400136482,0.02977550354407873,1.1698762103065568,0.0016296716950730387,0.09715050833027591,0.1793094534984744,,
9,2.882554292678833,0.0,-1478.2479912582241,0.014584541320800781,0.9993104,-3.482862948315715,-452729.7808160047,0.04941669282934609,0.029961662969976145,1.1674953986523153,0.0016597608198125721,0.09715376462726795,0.17830508717521878,,
10,3.0077531337738037,0.0,-1484.6667626913809,0.014031410217285156,0.9999911,-6.08687650760748,0.9976453640395956,0.048501390627180896,0.03048994621485043,1.8350149280321753,0.0017822906715915243,0.09236144494561477,0.16302475614005435,0.7241387367248535,3.3882148692194815e-06
11,3.886012315750122,0.0,-1448.0518013563446,0.013533353805541992,0.9993582,-3.4793846590725437,-460609.901430806,0.05019342821123058,0.030139581274565393,1.2475558735556607,0.0018513769486511109,0.09762457092529964,0.18065305802675716,,
12,4.012083053588867,0.0,-1444.0999405968214,0.0130462646484375,0.9993363,-3.464312254535484,-470109.2301045465,0.050612122058359195,0.030434952618672743,1.2438877170685543,0.0018702653391258555,0.09823906501858351,0.1815290145733834,,
13,4.139031171798706,0.0,-1442.0334446992479,0.0126190185546875,0.99931425,-3.4506191336649774,-482844.57429827546,0.05100365811225346,0.030785306701768513,1.2554669376634497,0.001861731616773843,0.09936884041614617,0.18278617333389263,,
14,4.266528844833374,0.0,-1427.4444707640628,0.01350092887878418,0.99929196,-3.4443999049651826,-495074.2063181772,0.05135943481981777,0.03106145019596273,1.253263625740696,0.0019199388209209746,0.09994795020066585,0.18406863102103888,,
15,4.3916308879852295,0.0,-1429.3429981331512,0.013103246688842773,0.99928814,-3.4757669696618385,-486390.3047537923,0.05133100918472293,0.030964966217963505,1.2540774568861177,0.0020599017970484583,0.10029402627773823,0.1840718601965254,,
16,4.5188374519348145,0.0,-1445.2703964775078,0.01329183578491211,0.99934083,-3.4659228732577,-495749.8707015672,0.0519433123921121,0.031262219680211804,1.29647735881108,0.0020218850795393037,0.10084333375734474,0.18887124762452623,,
17,4.641042947769165,0.0,-1432.5721510060037,0.012171745300292969,0.99929935,-3.4538991618095913,-496897.5390766667,0.052485510189226245,0.031646596418238374,1.249060775135791,0.0020196198853442825,0.10196533166706993,0.18965045823106277,,
18,4.762475252151489,0.0,-1440.6199232614558,0.012397289276123047,0.99929553,-3.444456841367881,-506331.7042257436,0.05307236509182322,0.03196807128019255,1.2502524608469927,0.0020169040625272836,0.10259388631613169,0.19230102482905995,,
19,4.884978771209717,0.0,-1426.5604328581371,0.012128829956054688,0.9993299,-3.4332403915015113,-518774.35442898737,0.0529620109791641,0.03220194663758368,1.2285434109377662,0.002052210312526756,0.10307043892722415,0.19263165767293353,,
20,5.006486892700195,0.0,-1416.482257955511,0.01228642463684082,0.9999911,-5.252953738960746,0.9965194464623037,0.059051236180878354,0.04315553089335605,1.8140264520070692,0.003431666792868597,0.10849436682114727,0.1760744438781134,0.6677322387695312,3.3882148692194815e-06
21,5.823531866073608,0.0,-1442.149073834038,0.011365890502929688,0.99934185,-3.4083896834184095,-538194.3997949414,0.05358188536715977,0.03281621846535816,1.2365293777958213,0.0020573162280048715,0.1047531919230411,0.1943573389885819,,
22,5.9457197189331055,0.0,-1439.5145991095812,0.012221336364746094,0.99933815,-3.413374186365301,-543225.0585838453,0.05364685025157895,0.03281808612080438,1.228806349844003,0.002072182218317819,0.10586183383905802,0.1950089080201572,,
