,total_time,time,score,loss,n_iter,train_duration,loo_duration,alpha_CI,PVA,R2,RMSE,mean_err_abs,max_err_abs,mean_err_quant05,mean_err_quant95,mean_err_quant99,pred_time,noise
0,5123.683553934097,0.0,-1710.7419673756663,-2.4876948923385562,50000.0,5121.253512620926,0.013432979583740234,0.9389047,3.1954988878670245,0.9988264687395152,0.034213443270148844,0.02181174868867412,0.8856589841518068,0.0010829289949455256,0.06973656702461983,0.12142408953568574,0.3787107467651367,2.4426308426569074e-05
1,5124.2339034080505,0.0,-1681.69659231004,,,,0.015500545501708984,0.82855403,0.740457711357445,0.9991157340408631,0.02973660974518017,0.01902778460379483,0.8582711095661097,0.0009940309472863782,0.06315845441598959,0.10626950696990257,,
2,5124.365023851395,0.0,-1629.2849885664582,,,,0.016340017318725586,0.8271847,0.7458866709224194,0.9991082847191807,0.029861602114074955,0.019130584554520165,0.8550092069629573,0.0010191746244557686,0.06334558808556245,0.10653801443655847,,
3,5124.49285697937,0.0,-1614.7688553470934,,,,0.015600204467773438,0.82773733,0.7458666011998739,0.9991048001698106,0.029919890210181255,0.019200606735677174,0.8553523771213533,0.000997557970604491,0.06340441371700278,0.10628670031147386,,
4,5124.625044345856,0.0,-1620.1810492827844,,,,0.015659093856811523,0.8266153,0.7527163306085386,0.9990992124102157,0.030013123625911478,0.01930690977453779,0.8523959537808962,0.0010372413974209776,0.06361895962011219,0.10668990955630343,,
5,5124.752424955368,0.0,-1605.9417189967833,,,,0.014900445938110352,0.82567734,0.757618963975677,0.9990906239246781,0.03015586303394223,0.01942466077054987,0.851011070542449,0.0010812189780430995,0.06404634621701435,0.10774753221051868,,
6,5124.881715297699,0.0,-1601.9372550027779,,,,0.015375852584838867,0.8255159,0.7602257125415357,0.9990878628288083,0.030201608751713006,0.01948476760448419,0.8479824730150747,0.0010785727465935824,0.06421539363647583,0.10786248478829744,,
7,5125.0061819553375,0.0,-1593.6353366237547,,,,0.014641046524047852,0.8243292,0.7639941075176317,0.9990826953108047,0.030287038303459517,0.019571429955232547,0.8458690860046503,0.0010712404276388098,0.06439197570750844,0.1075003765144968,,
8,5125.133448839188,0.0,-1567.2325673851415,,,,0.014663457870483398,0.8224802,0.7746876078777494,0.999073286181905,0.030441974608999302,0.019717189667440262,0.8502129357842795,0.001103657695066253,0.06443253165359755,0.1084832523835636,,
9,5125.2589638233185,0.0,-1582.7171246542696,,,,0.015105962753295898,0.82039416,0.7884678369046119,0.9990619828301197,0.03062706596917601,0.01987944608592367,0.8448174392949053,0.0011220615189860583,0.06476884134415506,0.10927133630830682,,
10,5125.385730743408,0.0,-1556.1794141466498,,,,0.014586687088012695,0.8792191,4.268197972644965,0.9982706353798335,0.04144233205625979,0.030525756701810004,0.9414307635567654,0.0021511723219954284,0.080050099215707,0.12875527539272838,0.3003237247467041,2.4426308426569074e-05
11,5125.847233057022,0.0,-1551.867025333429,,,,0.014347553253173828,0.8182652,0.8074287461941649,0.9990363971453846,0.031041953137898367,0.020156550087246452,0.8401979695457691,0.00113074937330852,0.06575840208339405,0.11026036090877883,,
12,5125.974091053009,0.0,-1533.7755336955436,,,,0.01424264907836914,0.8182991,0.8102319419931817,0.9990314191112875,0.031122032207305583,0.020238014021604633,0.8377461763662802,0.00115870007091932,0.06591731178662222,0.11021594501771259,,
13,5126.098707914352,0.0,-1504.718317542175,,,,0.013505697250366211,0.8169805,0.8214870949363402,0.9990231086421071,0.031255261283389284,0.02037556174620057,0.841030350265277,0.0012065130576428727,0.06609927074024213,0.11095690182243578,,
14,5126.2266438007355,0.0,-1525.0960676186946,,,,0.014201879501342773,0.8158527,0.8265319191774364,0.9990140967430299,0.031399096435570484,0.020489649953375242,0.8473880376550902,0.0012121683709085246,0.06614022061834192,0.11144284292610013,,
15,5126.352393865585,0.0,-1515.1087519784394,,,,0.01355743408203125,0.8139073,0.8387281336612171,0.9989983391938634,0.03164902535839757,0.02066220285339443,0.8432908378189334,0.0012058811575394127,0.06662667117004198,0.1133527036926735,,
16,5126.4778916835785,0.0,-1499.265906180596,,,,0.013643503189086914,0.813975,0.840022531854355,0.998993676928054,0.03172259560543798,0.020741321829371936,0.8465769549048414,0.001228913402459014,0.0668235960370176,0.11262497647543472,,
17,5126.603581428528,0.0,-1515.455876195564,,,,0.013172626495361328,0.8112786,0.849258486103108,0.9989840062135936,0.03187465743198714,0.020890726908239628,0.8455158969688872,0.0012416625406543613,0.06694726236201774,0.11269599601434041,,
18,5126.729185342789,0.0,-1512.3768834569576,,,,0.013395071029663086,0.8093334,0.8547754833106133,0.9989762826189472,0.03199558377421342,0.02098106035716394,0.842552935836074,0.0012656442196126334,0.06717306964365315,0.11300031701967217,,
19,5126.853302240372,0.0,-1536.2768259327624,,,,0.012737512588500977,0.80910903,0.8585502816697933,0.9989639476291923,0.032187767409496214,0.021095436789484306,0.8477077688707506,0.0012451251978132449,0.06781026121598398,0.11328706132990317,,
20,5126.980143070221,0.0,-1531.346865759514,,,,0.013046979904174805,0.865007,4.122983198361225,0.9981579178500172,0.042840031831979965,0.03219827476233114,0.9209004393834741,0.0028186529712146413,0.08164445736580805,0.1317038934750102,0.26976609230041504,2.4426308426569074e-05
21,5127.407660007477,0.0,-1496.204114470314,,,,0.012602567672729492,0.80613625,0.8686017898672344,0.9989474061257467,0.03244370315258871,0.021335665638948294,0.8390957433589636,0.0012308572082094054,0.06828234436421107,0.11347202838106422,,
