,q_U234,q_U235,q_U236,q_U237,q_U238,q_Np237,q_Np238,q_Np239,q_Pu238,q_Pu239,q_Pu240,q_Pu241,q_Pu242,q_Am241,q_Am242M,q_Am243,q_Cm242,q_Cm243,q_Cm244,q_Cm245,q_I135,q_Xe135,q_Nd147,q_Nd148,q_Pm147,q_Pm148,q_Pm148M,q_Pm149,q_Sm149,q_Gd154,q_Gd155,q_Gd156,q_Gd157,q_Gd158,q_Gd160,q_Eu157,q_Rh103,q_Ru103,q_Eu153,q_residual
2_3,1.533303e-06,0.000181762642,1.0436e-06,2.678e-09,0.00671384317,7.85e-10,1e-12,2.97568e-07,0.0,2.87603e-07,1.127e-09,8e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823e-09,1.907e-09,1.9431e-08,1.7493e-08,3.43e-09,3e-12,3e-12,5.367e-09,4.23e-09,0.0,0.0,2e-11,4.4e-11,5.6e-11,5e-12,1.5e-11,1.478e-09,3.1122e-08,9.04e-10,1
2_4,1.533303e-06,0.000181762642,1.0436e-06,2.678e-09,0.00671384317,7.85e-10,1e-12,2.97568e-07,0.0,2.87603e-07,1.127e-09,8e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823e-09,1.907e-09,1.9431e-08,1.7493e-08,3.43e-09,3e-12,3e-12,5.367e-09,4.23e-09,0.0,0.0,2e-11,4.4e-11,5.6e-11,5e-12,1.5e-11,1.478e-09,3.1122e-08,9.04e-10,1
2_5,1.533303e-06,0.000181762642,1.0436e-06,2.678e-09,0.00671384317,7.85e-10,1e-12,2.97568e-07,0.0,2.87603e-07,1.127e-09,8e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823e-09,1.907e-09,1.9431e-08,1.7493e-08,3.43e-09,3e-12,3e-12,5.367e-09,4.23e-09,0.0,0.0,2e-11,4.4e-11,5.6e-11,5e-12,1.5e-11,1.478e-09,3.1122e-08,9.04e-10,1
2_6,1.533303e-06,0.000181762642,1.0436e-06,2.678e-09,0.00671384317,7.85e-10,1e-12,2.97568e-07,0.0,2.87603e-07,1.127e-09,8e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823e-09,1.907e-09,1.9431e-08,1.7493e-08,3.43e-09,3e-12,3e-12,5.367e-09,4.23e-09,0.0,0.0,2e-11,4.4e-11,5.6e-11,5e-12,1.5e-11,1.478e-09,3.1122e-08,9.04e-10,1
2_7,1.533303e-06,0.000181762642,1.0436e-06,2.678e-09,0.00671384317,7.85e-10,1e-12,2.97568e-07,0.0,2.87603e-07,1.127e-09,8e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823e-09,1.907e-09,1.9431e-08,1.7493e-08,3.43e-09,3e-12,3e-12,5.367e-09,4.23e-09,0.0,0.0,2e-11,4.4e-11,5.6e-11,5e-12,1.5e-11,1.478e-09,3.1122e-08,9.04e-10,1
2_8,1.533303e-06,0.000181762642,1.0436e-06,2.678e-09,0.00671384317,7.85e-10,1e-12,2.97568e-07,0.0,2.87603e-07,1.127e-09,8e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823e-09,1.907e-09,1.9431e-08,1.7493e-08,3.43e-09,3e-12,3e-12,5.367e-09,4.23e-09,0.0,0.0,2e-11,4.4e-11,5.6e-11,5e-12,1.5e-11,1.478e-09,3.1122e-08,9.04e-10,1
2_9,1.533303e-06,0.000181762642,1.0436e-06,2.678e-09,0.00671384317,7.85e-10,1e-12,2.97568e-07,0.0,2.87603e-07,1.127e-09,8e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823e-09,1.907e-09,1.9431e-08,1.7493e-08,3.43e-09,3e-12,3e-12,5.367e-09,4.23e-09,0.0,0.0,2e-11,4.4e-11,5.6e-11,5e-12,1.5e-11,1.478e-09,3.1122e-08,9.04e-10,1
2_10,1.533303e-06,0.000181762642,1.0436e-06,2.678e-09,0.00671384317,7.85e-10,1e-12,2.97568e-07,0.0,2.87603e-07,1.127e-09,8e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.823e-09,1.907e-09,1.9431e-08,1.7493e-08,3.43e-09,3e-12,3e-12,5.367e-09,4.23e-09,0.0,0.0,2e-11,4.4e-11,5.6e-11,5e-12,1.5e-11,1.478e-09,3.1122e-08,9.04e-10,1
3_0,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
3_1,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
3_2,1.529523e-06,0.00018047735,1.269574e-06,4.522e-09,0.006713113469,3.019e-09,4e-12,3.63776e-07,5e-12,8.68185e-07,6.517e-09,9.7e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.82e-09,1.911e-09,3.4588e-08,3.7153e-08,1.3652e-08,2.2e-11,2.2e-11,6.419e-09,9.101e-09,0.0,1e-12,8.8e-11,6.7e-11,1.7e-10,1.2e-11,1.6e-11,6.419e-09,6.2906e-08,2.641e-09,1
